word,chars,log_freq,gpt2S_surp,gpt2B_surp,gpt2L_surp,mean_RT
'Admiral,8,4.0,-22.883132934570312,-25.359848022460938,-27.308238983154297,426.0921052631579
'Ah,3,4.63,-24.761075973510742,-30.043781280517578,-25.645160675048828,323.9634146341463
'Based,6,5.51,-22.96999168395996,-30.02126121520996,-33.47836685180664,351.98571428571427
'Budge,6,3.23,-32.1832275390625,-34.31541061401367,-36.19658660888672,349.49367088607596
'But,4,6.63,-18.28031349182129,-23.02952003479004,-20.357698440551758,341.77647058823527
'Come,5,5.78,-24.892929077148438,-31.399377822875977,-28.975460052490234,352.1818181818182
"'Come,",6,5.78,-25.793296813964844,-29.60709571838379,-29.007308959960938,343.1847826086956
'Do,3,6.35,-19.931644439697266,-25.994874954223633,-23.30011558532715,319.8440860215054
'Don't,6,6.2,-17.413606643676758,-20.33709144592285,-19.72999382019043,328.86746987951807
'Except,7,5.02,-27.964235305786133,-34.28278732299805,-30.391197204589844,429.15909090909093
'Extraordinary,14,4.36,-25.824146270751953,-32.32590866088867,-29.56484603881836,404.71794871794873
'For,4,7.01,-17.449464797973633,-22.783493041992188,-22.534015655517578,328.28395061728395
'General,8,5.47,-24.33747673034668,-30.663843154907227,-30.940338134765625,354.57142857142856
'General',9,5.47,-36.264991760253906,-34.317649841308594,-29.85932731628418,412.97402597402595
'Good,5,6.12,-22.30666160583496,-28.761545181274414,-25.966350555419922,358.9259259259259
"'Grandmother,'",14,4.14,-41.33525466918945,-39.085697174072266,-37.22608184814453,459.86813186813185
'Haven't,8,5.11,-22.969554901123047,-24.109956741333008,-32.79679489135742,381.961038961039
'He'll,6,4.54,-23.959224700927734,-25.574953079223633,-23.641769409179688,331.390243902439
'He's,5,5.6,-18.95414924621582,-19.776044845581055,-17.175935745239258,384.8333333333333
'How,4,6.24,-18.901338577270508,-25.386655807495117,-24.586864471435547,328.59493670886076
'I,2,7.09,-13.149518013000488,-16.360570907592773,-13.292242050170898,328.0168243953733
'I'm,4,6.15,-15.49683952331543,-16.64896011352539,-14.857770919799805,340.40562248995985
'I've,5,5.72,-17.237953186035156,-19.84367561340332,-17.292816162109375,322.8125
'It's,5,6.33,-14.630874633789062,-16.626346588134766,-14.339563369750977,359.9021739130435
'Just,5,6.43,-20.62302017211914,-26.990514755249023,-24.950489044189453,347.8192771084337
'Mogul'.,8,3.07,-50.9477424621582,-38.24432373046875,-40.62203598022461,574.9166666666666
'No'.,5,6.35,-37.450706481933594,-30.865079879760742,-29.107999801635742,405.21276595744683
"'No,",4,6.35,-18.11068344116211,-19.648807525634766,-17.339248657226562,338.63157894736844
'Nothing,8,5.55,-24.661954879760742,-31.173242568969727,-26.664709091186523,330.4268292682927
'O,2,5.12,-18.349584579467773,-21.211578369140625,-18.76020622253418,359.22222222222223
'On,3,6.91,-17.857093811035156,-22.877206802368164,-21.464094161987305,332.4698795180723
'Or,3,6.54,-21.845495223999023,-27.75819969177246,-24.28106689453125,348.43373493975906
'Scratch!',10,4.16,-37.14764404296875,-37.54108810424805,-36.886539459228516,421.31111111111113
'She,4,6.26,-18.97080421447754,-23.630165100097656,-20.911577224731445,412.06666666666666
'Small,6,5.51,-24.261016845703125,-31.27045440673828,-32.7375373840332,357.48192771084337
'Someone,8,5.63,-26.011470794677734,-32.930843353271484,-32.71851348876953,367.2247191011236
'That,5,7.01,-19.0281925201416,-23.701017379760742,-19.447050094604492,371.0
'The,4,7.73,-12.63300895690918,-16.512439727783203,-16.169200897216797,334.68058968058966
'Then,5,6.07,-22.168563842773438,-28.13624382019043,-25.033340454101562,339.5387596899225
'This,5,6.82,-16.17737579345703,-21.490095138549805,-19.86899757385254,314.1341463414634
'To,3,7.43,-18.00155258178711,-22.847862243652344,-22.368135452270508,334.67123287671234
'Tulip,6,3.18,-30.188461303710938,-29.572223663330078,-38.67571258544922,406.44736842105266
'Was,4,6.82,-23.643888473510742,-29.718626022338867,-30.066974639892578,385.94666666666666
'What,5,6.38,-17.56699562072754,-23.34623146057129,-20.92420196533203,329.37109375
'What's,7,5.2,-18.964242935180664,-21.936777114868164,-20.029626846313477,339.8536585365854
'Where's,8,4.09,-23.39605712890625,-27.15831184387207,-24.463769912719727,420.0853658536585
'Why,4,5.93,-20.37352180480957,-27.167009353637695,-23.732606887817383,352.63829787234044
'With,5,6.85,-18.234838485717773,-24.456275939941406,-23.904029846191406,335.35714285714283
"'Yes,",5,5.5,-17.080827713012695,-21.00956916809082,-19.596054077148438,359.3777777777778
"'Yes,'",6,5.5,-32.23603820800781,-31.61980438232422,-23.894014358520508,386.72
'You,4,6.98,-16.403379440307617,-22.185104370117188,-18.98634910583496,347.47513812154693
'You've,7,5.13,-19.543617248535156,-23.245664596557617,-21.121641159057617,435.0843373493976
"'You,",5,6.98,-24.260818481445312,-28.8602352142334,-25.614011764526367,325.7984496124031
"'admiral',",10,4.0,-38.25615310668945,-38.11595153808594,-41.08049774169922,419.62820512820514
'broken',8,4.88,-37.16861343383789,-31.142560958862305,-30.374053955078125,406.4266666666667
'confessions',13,3.53,-38.073646545410156,-33.04768371582031,-32.59922409057617,383.958904109589
'flying,7,4.71,-36.10203552246094,-36.22833251953125,-40.47742462158203,386.46938775510205
'fog'.,6,3.9,-43.080196380615234,-36.090511322021484,-37.97357940673828,409.4725274725275
'hoover'.,9,3.56,-45.658653259277344,-40.04275894165039,-41.73741912841797,464.1951219512195
'tulip,6,3.18,-31.839662551879883,-39.70101547241211,-41.84504699707031,353.29411764705884
'witnesses',11,4.29,-34.62541580200195,-28.746074676513672,-27.999589920043945,398.2916666666667
(purple,7,4.32,-24.8120174407959,-22.756559371948242,-26.92813491821289,366.46835443037975
(red,4,5.32,-24.417343139648438,-22.169736862182617,-24.339014053344727,396.0759493670886
"(red,",5,5.32,-24.906078338623047,-25.648056030273438,-23.404098510742188,409.50632911392404
Abby,4,3.56,-19.044565200805664,-19.664663314819336,-12.951427459716797,342.9594651065608
Abby's,6,2.42,-23.635608673095703,-20.34247398376465,-15.03053092956543,389.99795081967216
"Abby,",5,3.56,-23.28647232055664,-21.748592376708984,-16.504392623901367,377.59574468085106
Abby.,5,3.56,-24.18507194519043,-25.566591262817383,-19.63238525390625,344.5365853658537
Accounting,10,4.29,-21.68723487854004,-16.057270050048828,-8.135751724243164,340.88732394366195
"Additionally,",13,4.2,-11.18858528137207,-5.613453388214111,-0.05894653499126434,418.2972972972973
Admirals',9,2.77,-37.62922668457031,-32.49463653564453,-22.91962432861328,408.54545454545456
Agustin,7,2.48,-29.262195587158203,-25.803813934326172,-14.90466594696045,394.4366197183099
"And,",4,7.41,-12.91968059539795,-8.886636734008789,-9.988802909851074,331.2899408284024
Aqua,4,3.43,-36.97684860229492,-33.3873291015625,-23.40671730041504,345.58576642335765
Aqua's,6,1.41,-39.80003356933594,-34.034217834472656,-26.93057632446289,374.1978021978022
"Aqua,",5,3.43,-33.703094482421875,-32.473941802978516,-24.970367431640625,383.09157509157507
Attention,9,5.11,-36.579322814941406,-23.14507293701172,-6.547303676605225,351.6376811594203
Augustus,8,3.43,-23.156038284301758,-21.928071975708008,-20.800687789916992,455.9868421052632
"Besides,",8,4.63,-12.543144226074219,-8.925580024719238,-5.0454020500183105,427.77777777777777
Bizarden,8,0.0,-47.48438262939453,-45.17431640625,-43.88427734375,468.82278481012656
Boar.,5,3.3,-27.123977661132812,-23.82121467590332,-20.20560646057129,924.1818181818181
Bradford,8,3.75,-27.649917602539062,-22.39185333251953,-3.2967567443847656,360.24455611390283
"Bradford,",9,3.75,-24.967926025390625,-20.87256622314453,-6.55649471282959,409.25882352941176
Bradford.,9,3.75,-25.9135799407959,-25.635948181152344,-12.168218612670898,357.5416666666667
Bulbs,5,3.55,-28.180173873901367,-21.534215927124023,-16.380041122436523,373.7763157894737
Buster,6,3.47,-38.41633224487305,-28.364362716674805,-22.435747146606445,333.96791443850265
Commanding,10,3.84,-21.940088272094727,-16.573888778686523,-13.15262222290039,410.6666666666667
Complex,7,4.86,-33.86433410644531,-28.277849197387695,-5.854925155639648,384.05555555555554
Compulsive,10,3.29,-37.912200927734375,-25.932456970214844,-16.98225975036621,341.0144927536232
"Confident,",10,4.43,-29.554134368896484,-24.23280143737793,-14.485068321228027,380.0
"Correthers,",11,0.0,-37.63136672973633,-35.54179000854492,-37.491912841796875,542.6
"Couleren,",9,0.0,-45.63613510131836,-38.13058853149414,-47.76932144165039,534.6315789473684
Crest,5,3.65,-29.73073959350586,-28.38084602355957,-20.98811149597168,381.24418604651163
"Crowds',",8,3.87,-44.95263671875,-37.98908615112305,-39.177040100097656,399.61538461538464
Deficit,7,4.06,-40.69906234741211,-26.970516204833984,-18.6732120513916,386.7826086956522
Delusions,9,3.24,-38.79936599731445,-27.514307022094727,-19.364049911499023,400.15384615384613
Disorder,8,4.31,-27.60272789001465,-21.326282501220703,-17.590394973754883,362.1231884057971
Dr.,3,5.24,-11.808606147766113,-5.42510986328125,-1.9202251434326172,427.125
Eighth,6,4.2,-41.6502799987793,-31.96601676940918,-25.393829345703125,377.8378378378378
Elvis,5,3.78,-31.01886749267578,-26.76950454711914,-18.85953140258789,338.7070588235294
Elvis's,7,1.89,-37.44070053100586,-28.255037307739258,-22.05859375,353.7259786476868
Elvis's?',9,1.89,-60.593902587890625,-51.13384246826172,-41.745235443115234,360.29347826086956
Emperor's,9,3.12,-41.632171630859375,-27.928579330444336,-9.666726112365723,399.5897435897436
"Empire,",7,4.54,-33.14793014526367,-31.193580627441406,-20.735445022583008,414.7848101265823
"England,",8,5.12,-11.690896034240723,-6.7015252113342285,-6.551861763000488,400.2696629213483
Eugene,6,3.8,-30.89945411682129,-19.71038055419922,-15.959433555603027,671.0
"Eventually,",11,4.88,-11.552399635314941,-6.9596147537231445,-1.714887261390686,342.66279069767444
"Exhausted,",10,4.08,-35.99032974243164,-20.438087463378906,-17.0802001953125,342.93333333333334
Festival,8,4.72,-41.88164520263672,-32.176605224609375,-22.845903396606445,339.3098591549296
Flemish,7,3.09,-37.29166793823242,-22.137283325195312,-21.559940338134766,455.9493670886076
"French,",7,5.09,-11.937247276306152,-9.524706840515137,-10.449655532836914,406.4155844155844
Friedman,8,3.47,-35.72172164916992,-25.046016693115234,-16.901395797729492,412.44
Generals'.,10,3.72,-42.09109115600586,-32.46806716918945,-26.27189826965332,369.54545454545456
Genetic,7,4.34,-34.981021881103516,-26.174406051635742,-11.065512657165527,346.6521739130435
Georges,7,3.41,-20.792211532592773,-15.130012512207031,-6.030937671661377,473.7638888888889
Gilles,6,3.01,-44.58583450317383,-32.370052337646484,-29.507064819335938,470.25
"Hall,",5,4.87,-12.268487930297852,-7.778339862823486,-6.8787336349487305,395.39080459770116
Hastened,8,2.73,-38.580780029296875,-25.461021423339844,-26.53883171081543,344.04
"House,",6,5.71,-12.213715553283691,-8.409756660461426,-9.831921577453613,374.1190476190476
"However,",8,5.58,-11.207670211791992,-4.887519836425781,-0.18055184185504913,376.11371237458195
Hyperactivity,13,2.86,-32.22877502441406,-27.819734573364258,-19.060089111328125,380.3970588235294
I'm,3,6.15,-25.517513275146484,-15.815007209777832,-6.846750259399414,327.10526315789474
I've,4,5.72,-28.30417251586914,-16.636869430541992,-9.917898178100586,311.5121951219512
Incident,8,4.54,-27.704498291015625,-24.120315551757812,-11.44536018371582,372.82894736842104
"Indeed,",7,4.79,-10.919072151184082,-6.205013751983643,-0.3244718909263611,328.5111111111111
Into,4,6.11,-22.187068939208984,-17.35772705078125,-17.553272247314453,366.46629213483146
It's,4,6.33,-18.899032592773438,-8.753806114196777,-2.619919538497925,409.9120879120879
"Jacksonville,",13,3.61,-24.673219680786133,-19.994457244873047,-8.942659378051758,465.66315789473686
Jesse,5,4.04,-21.406230926513672,-16.515274047851562,-6.963558197021484,396.8767123287671
Jill,4,3.81,-26.144329071044922,-23.006704330444336,-20.326234817504883,300.7248322147651
"Jill,",5,3.81,-26.704463958740234,-24.44452667236328,-23.68362808227539,365.67385444743934
